,Yukon,Shandong,Gene
WW1,0,0,Thhalv10004906m.g
WW1,0,0,Thhalv10004906m.g
WW1,0,0,Thhalv10004906m.g
D1,2,2.5,Thhalv10004906m.g
D1,3.3,1,Thhalv10004906m.g
D1,4.8,1.2,Thhalv10004906m.g
WW2,-1,1.4,Thhalv10004906m.g
WW2,-3,1,Thhalv10004906m.g
WW2,-1.2,2.2,Thhalv10004906m.g
D2,2.8,0.4,Thhalv10004906m.g
D2,2.2,2,Thhalv10004906m.g
D2,2,0.73,Thhalv10004906m.g
WW1,0,0,Thhalv10015427m.g
WW1,0,0,Thhalv10015427m.g
WW1,0,0,Thhalv10015427m.g
D1,2,1.5,Thhalv10015427m.g
D1,0.7,0.3,Thhalv10015427m.g
D1,0.4,0.4,Thhalv10015427m.g
WW2,-3.3,1.4,Thhalv10015427m.g
WW2,-5,1,Thhalv10015427m.g
WW2,-2.2,0.4,Thhalv10015427m.g
D2,-0.4,1,Thhalv10015427m.g
D2,-1,1,Thhalv10015427m.g
D2,-0.3,0.3,Thhalv10015427m.g
WW1,0,0,Thhalv10004736m.g
WW1,0,0,Thhalv10004736m.g
WW1,0,0,Thhalv10004736m.g
D1,3,1.2,Thhalv10004736m.g
D1,2.5,1,Thhalv10004736m.g
D1,1.7,0.5,Thhalv10004736m.g
WW2,1.5,0.8,Thhalv10004736m.g
WW2,0.9,0.5,Thhalv10004736m.g
WW2,0.7,0.2,Thhalv10004736m.g
D2,3.2,1,Thhalv10004736m.g
D2,2.5,0.66,Thhalv10004736m.g
D2,1.8,0.8,Thhalv10004736m.g
WW1,0,0,Thhalv10012591m.g
WW1,0,0,Thhalv10012591m.g
WW1,0,0,Thhalv10012591m.g
D1,1.5,1.2,Thhalv10012591m.g
D1,2.3,0.8,Thhalv10012591m.g
D1,0.7,0.45,Thhalv10012591m.g
WW2,0.6,-0.15,Thhalv10012591m.g
WW2,0.38,0.45,Thhalv10012591m.g
WW2,0.13,0.13,Thhalv10012591m.g
D2,0.6,2,Thhalv10012591m.g
D2,1.6,1.4,Thhalv10012591m.g
D2,0.9,1.1,Thhalv10012591m.g